Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,47.715000,47.867500,47.020000,47.447498,43.317043,8818000
2019-04-24,47.439999,47.775002,47.287498,47.514999,43.378666,6187200
2019-04-25,47.357498,47.930000,47.314999,47.619999,43.474518,5898400
2019-04-26,47.849998,48.347500,47.822498,47.927502,43.755253,5653600
2019-04-29,48.007500,48.224998,47.652500,47.942501,43.768951,7094400
2019-04-30,47.939999,48.662498,47.814999,48.610001,44.378342,10643600
2019-05-01,48.377499,48.759998,48.232498,48.317501,44.111305,8541200
2019-05-02,48.209999,48.467499,47.639999,47.930000,43.757534,10035600
2019-05-03,47.892502,48.157501,47.702499,48.102501,43.915020,6694800
2019-05-06,48.049999,48.332500,47.709999,47.724998,43.570377,6730000
2019-05-07,47.452499,47.689999,47.215000,47.437500,43.307907,7748400
2019-05-08,47.400002,47.502499,46.825001,46.970001,42.881115,7887200
2019-05-09,47.112499,47.302502,46.869999,47.152500,43.047722,6872400
2019-05-10,47.139999,48.049999,47.020000,47.939999,43.766666,6420000
2019-05-13,47.855000,48.852501,47.770000,48.732498,44.490177,10632800
2019-05-14,48.730000,49.177502,48.377499,48.724998,44.483326,8954400
2019-05-15,48.802502,49.032501,48.617500,48.715000,44.474194,7071600
2019-05-16,48.622501,49.480000,48.455002,49.277500,44.987740,8465600
2019-05-17,48.957500,49.865002,48.904999,49.744999,45.414528,6821600
2019-05-20,49.820000,50.152500,49.735001,49.837502,45.498985,5464000
2019-05-21,49.875000,50.247501,49.697498,49.724998,45.396271,6069200
2019-05-22,49.872501,50.587502,49.654999,50.482498,46.087833,6706800
2019-05-23,50.564999,50.947498,50.564999,50.882500,46.453011,8216000
2019-05-24,50.930000,51.182499,50.777500,50.842499,46.416492,5559200
2019-05-28,50.942501,51.022499,50.232498,50.292500,45.914371,7048400
2019-05-29,50.427502,50.570000,49.617500,49.680000,45.355194,7214400
2019-05-30,49.777500,50.012501,49.615002,49.735001,45.405411,6462800
2019-05-31,49.572498,49.847500,49.152500,49.552502,45.524837,9161600
2019-06-03,49.732498,49.915001,49.327499,49.895000,45.839500,6806000
2019-06-04,50.035000,50.077499,49.092499,49.845001,45.793560,7811600
2019-06-05,50.125000,51.212502,50.007500,51.162498,47.003971,7546400
2019-06-06,51.250000,51.602501,50.972500,51.439999,47.258919,5614400
2019-06-07,51.724998,52.117500,51.097500,51.097500,46.944256,6242800
2019-06-10,51.025002,51.172501,50.369999,50.855000,46.721462,7104800
2019-06-11,50.799999,50.952499,50.189999,50.492500,46.388439,4606800
2019-06-12,50.832500,51.327499,50.697498,51.137501,46.981003,5236000
2019-06-13,51.150002,51.375000,50.812500,51.192501,47.031544,6806400
2019-06-14,51.415001,51.832500,51.237499,51.740002,47.534534,5525200
2019-06-17,51.812500,52.000000,51.312500,51.592499,47.399021,6233600
2019-06-18,51.957500,51.987499,50.967499,51.355000,47.180832,6576400
2019-06-19,51.072498,51.767502,51.064999,51.560001,47.369171,6602800
2019-06-20,51.665001,51.865002,51.180000,51.595001,47.401321,8883600
2019-06-21,51.782501,52.117500,51.355000,51.887501,47.670048,12560800
2019-06-24,52.090000,52.162498,51.717499,52.049999,47.819340,6009200
2019-06-25,52.095001,52.227501,51.487499,51.555000,47.364571,6954000
2019-06-26,51.349998,51.560001,50.755001,50.767502,46.641075,7394400
2019-06-27,51.200001,51.365002,50.904999,51.137501,46.981003,7529200
2019-06-28,50.992500,52.057499,50.812500,51.215000,47.052216,11647600
2019-07-01,51.092499,51.215000,50.264999,51.005001,46.859276,8478800
2019-07-02,51.192501,51.974998,51.187500,51.915001,47.695309,6696000
2019-07-03,51.972500,52.365002,51.915001,52.182499,47.941071,5654400
2019-07-05,51.860001,52.117500,51.332500,52.027500,47.798672,4196400
2019-07-08,52.152500,52.332500,51.855000,52.282501,48.032944,4322400
2019-07-09,52.060001,52.250000,51.792500,52.040001,47.810154,7276000
2019-07-10,52.107498,52.705002,51.887501,52.369999,48.113327,5922000
2019-07-11,52.397499,52.680000,52.139999,52.599998,48.324638,5830400
2019-07-12,52.474998,52.564999,51.947498,52.182499,47.941071,6283200
2019-07-15,52.167500,52.404999,51.922501,52.212502,47.968636,8714000
2019-07-16,52.165001,52.357498,51.700001,51.970001,47.745842,4281600
2019-07-17,52.174999,52.834999,52.174999,52.477501,48.212090,6556800
2019-07-18,52.564999,53.119999,52.250000,53.090000,48.774807,4413200
2019-07-19,52.950001,53.125000,52.349998,52.432499,48.170746,5843600
2019-07-22,52.502499,52.672501,51.932499,52.340000,48.085766,6547600
2019-07-23,52.352501,52.375000,51.732498,51.825001,47.612629,6337200
2019-07-24,52.084999,52.525002,51.634998,52.514999,48.246544,6080000
2019-07-25,52.035000,52.360001,51.759998,51.907501,47.688423,7010000
2019-07-26,52.035000,52.437500,51.950001,52.292500,48.042133,4324800
2019-07-29,52.474998,52.884998,52.320000,52.845001,48.549717,5274000
2019-07-30,52.847500,53.092499,52.067501,52.347500,48.092655,6447200
2019-07-31,52.467499,52.542500,51.552502,51.792500,47.582764,8446000
2019-08-01,51.657501,52.902500,51.619999,52.564999,48.292473,7507600
2019-08-02,52.779999,53.307499,52.505001,52.852501,48.556618,6912800
2019-08-05,52.889999,53.160000,51.775002,52.012501,47.784882,8838400
2019-08-06,52.035000,53.037498,51.660000,52.849998,48.554314,7171600
2019-08-07,52.847500,53.500000,52.160000,53.217499,48.891941,6892800
2019-08-08,53.305000,53.974998,52.802502,53.805000,49.431686,5971200
2019-08-09,53.965000,54.294998,53.752499,54.119999,49.721088,5828800
2019-08-12,54.277500,54.277500,53.657501,53.862499,49.484516,3922400
2019-08-13,53.847500,54.262501,53.695000,53.904999,49.523563,7496800
2019-08-14,54.025002,54.494999,53.682499,53.740002,49.371971,9558000
2019-08-15,53.657501,54.467499,53.572498,54.287498,49.874973,7865600
2019-08-16,54.572498,54.945000,54.099998,54.382500,49.962246,10488400
2019-08-19,54.327499,54.902500,54.154999,54.740002,50.290691,5632400
2019-08-20,54.950001,54.950001,54.347500,54.782501,50.329735,8316000
2019-08-21,54.965000,55.334999,54.787498,55.314999,50.818951,7483600
2019-08-22,55.292500,55.442501,54.882500,55.404999,50.901642,9159600
2019-08-23,55.632500,56.049999,55.157501,55.474998,50.965950,10485600
2019-08-26,55.625000,55.922501,55.397499,55.904999,51.361000,7455200
2019-08-27,56.057499,56.392502,55.974998,56.002499,51.450573,9541200
2019-08-28,55.785000,55.994999,55.042500,55.297501,51.087959,11356800
2019-08-29,55.630001,55.630001,54.802502,55.279999,51.071789,8512000
2019-08-30,55.452499,55.490002,54.712502,54.770000,50.600613,11786800
2019-09-03,54.702499,56.397499,54.702499,56.389999,52.097282,9718400
2019-09-04,56.397499,56.490002,55.707500,56.029999,51.764694,8909600
